date,OREB [Time unit from - to],forecasted_load_mw,actual_load_mw,time,datetime,hour,weekday,month,Month_Name,Time_Difference,forecast_error_mw,absolute_error_mw,squared_error_mw2,absolute_percentage_error,forecast_status,year,week,weekday_number,is_weekend
2026-01-19,00:00 - 00:15,17200,17909.328,00:00,2026-01-19 00:00:00,0,Monday,1,January,,709.3280000000013,709.3280000000013,503146.2115840019,3.9606622872728745,Underforecast,2026,4,0,False
2026-01-19,00:15 - 00:30,17050,17439.41,00:15,2026-01-19 00:15:00,0,Monday,1,January,0 days 00:15:00,389.40999999999985,389.40999999999985,151640.14809999987,2.232931045258985,Underforecast,2026,4,0,False
2026-01-19,00:30 - 00:45,16900,17515.727,00:30,2026-01-19 00:30:00,0,Monday,1,January,0 days 00:15:00,615.726999999999,615.726999999999,379119.7385289987,3.5152808673028475,Underforecast,2026,4,0,False
2026-01-19,00:45 - 01:00,16800,17493.357,00:45,2026-01-19 00:45:00,0,Monday,1,January,0 days 00:15:00,693.357,693.357,480743.929449,3.9635445615155507,Underforecast,2026,4,0,False
2026-01-19,01:00 - 01:15,16700,17276.377,01:00,2026-01-19 01:00:00,1,Monday,1,January,0 days 00:15:00,576.3770000000004,576.3770000000004,332210.44612900045,3.3362145315536953,Underforecast,2026,4,0,False
2026-01-19,01:15 - 01:30,16650,17351.166,01:15,2026-01-19 01:15:00,1,Monday,1,January,0 days 00:15:00,701.1660000000011,701.1660000000011,491633.7595560015,4.04103101774256,Underforecast,2026,4,0,False
2026-01-19,01:30 - 01:45,16650,17236.246,01:30,2026-01-19 01:30:00,1,Monday,1,January,0 days 00:15:00,586.2459999999992,586.2459999999992,343684.3725159991,3.401239457826253,Underforecast,2026,4,0,False
2026-01-19,01:45 - 02:00,16650,17098.74,01:45,2026-01-19 01:45:00,1,Monday,1,January,0 days 00:15:00,448.7400000000016,448.7400000000016,201367.58760000143,2.624403903445526,Underforecast,2026,4,0,False
2026-01-19,02:00 - 02:15,16650,17018.371,02:00,2026-01-19 02:00:00,2,Monday,1,January,0 days 00:15:00,368.3709999999992,368.3709999999992,135697.1936409994,2.1645491216521204,Underforecast,2026,4,0,False
2026-01-19,02:15 - 02:30,16650,17070.008,02:15,2026-01-19 02:15:00,2,Monday,1,January,0 days 00:15:00,420.00800000000163,420.00800000000163,176406.72006400136,2.460502654714641,Underforecast,2026,4,0,False
2026-01-19,02:30 - 02:45,16650,16942.197,02:30,2026-01-19 02:30:00,2,Monday,1,January,0 days 00:15:00,292.1970000000001,292.1970000000001,85379.08680900007,1.7246700649272355,Underforecast,2026,4,0,False
2026-01-19,02:45 - 03:00,16650,17166.479,02:45,2026-01-19 02:45:00,2,Monday,1,January,0 days 00:15:00,516.4789999999994,516.4789999999994,266750.5574409993,3.008648424641998,Underforecast,2026,4,0,False
2026-01-19,03:00 - 03:15,16650,17085.908,03:00,2026-01-19 03:00:00,3,Monday,1,January,0 days 00:15:00,435.90799999999945,435.90799999999945,190015.78446399953,2.5512720775506894,Underforecast,2026,4,0,False
2026-01-19,03:15 - 03:30,16700,17246.764,03:15,2026-01-19 03:15:00,3,Monday,1,January,0 days 00:15:00,546.7639999999992,546.7639999999992,298950.8716959991,3.170241095662927,Underforecast,2026,4,0,False
2026-01-19,03:30 - 03:45,16750,17236.79,03:30,2026-01-19 03:30:00,3,Monday,1,January,0 days 00:15:00,486.7900000000009,486.7900000000009,236964.50410000086,2.8241337279157017,Underforecast,2026,4,0,False
2026-01-19,03:45 - 04:00,16900,17136.248,03:45,2026-01-19 03:45:00,3,Monday,1,January,0 days 00:15:00,236.2479999999996,236.2479999999996,55813.117503999805,1.3786448468766301,Underforecast,2026,4,0,False
2026-01-19,04:00 - 04:15,17050,17324.113,04:00,2026-01-19 04:00:00,4,Monday,1,January,0 days 00:15:00,274.1130000000012,274.1130000000012,75137.93676900065,1.5822628263854037,Underforecast,2026,4,0,False
2026-01-19,04:15 - 04:30,17200,17704.078,04:15,2026-01-19 04:15:00,4,Monday,1,January,0 days 00:15:00,504.07800000000134,504.07800000000134,254094.63008400134,2.8472423133246547,Underforecast,2026,4,0,False
2026-01-19,04:30 - 04:45,17450,17612.205,04:30,2026-01-19 04:30:00,4,Monday,1,January,0 days 00:15:00,162.20500000000175,162.20500000000175,26310.46202500057,0.9209806494984685,Underforecast,2026,4,0,False
2026-01-19,04:45 - 05:00,17750,17963.377,04:45,2026-01-19 04:45:00,4,Monday,1,January,0 days 00:15:00,213.3770000000004,213.3770000000004,45529.74412900017,1.1878445795576211,Underforecast,2026,4,0,False
2026-01-19,05:00 - 05:15,18150,18495.648,05:00,2026-01-19 05:00:00,5,Monday,1,January,0 days 00:15:00,345.64800000000105,345.64800000000105,119472.53990400072,1.868807191832376,Underforecast,2026,4,0,False
2026-01-19,05:15 - 05:30,18550,18651.145,05:15,2026-01-19 05:15:00,5,Monday,1,January,0 days 00:15:00,101.14500000000044,101.14500000000044,10230.311025000088,0.5422991457092872,Underforecast,2026,4,0,False
2026-01-19,05:30 - 05:45,19300,19280.002,05:30,2026-01-19 05:30:00,5,Monday,1,January,0 days 00:15:00,-19.997999999999593,19.997999999999593,399.9200039999837,0.10372405563028257,Overforecast,2026,4,0,False
2026-01-19,05:45 - 06:00,20150,20004.621,05:45,2026-01-19 05:45:00,5,Monday,1,January,0 days 00:15:00,-145.37900000000081,145.37900000000081,21135.05364100024,0.7267270897059275,Overforecast,2026,4,0,False
2026-01-19,06:00 - 06:15,21150,21340.482,06:00,2026-01-19 06:00:00,6,Monday,1,January,0 days 00:15:00,190.48199999999997,190.48199999999997,36283.392323999986,0.8925852752529205,Underforecast,2026,4,0,False
2026-01-19,06:15 - 06:30,22050,22083.94,06:15,2026-01-19 06:15:00,6,Monday,1,January,0 days 00:15:00,33.93999999999869,33.93999999999869,1151.9235999999112,0.15368634401288309,Underforecast,2026,4,0,False
2026-01-19,06:30 - 06:45,22800,22910.822,06:30,2026-01-19 06:30:00,6,Monday,1,January,0 days 00:15:00,110.82200000000012,110.82200000000012,12281.515684000025,0.4837102745593332,Underforecast,2026,4,0,False
2026-01-19,06:45 - 07:00,23450,23455.26,06:45,2026-01-19 06:45:00,6,Monday,1,January,0 days 00:15:00,5.259999999998399,5.259999999998399,27.66759999998316,0.02242567338839305,Underforecast,2026,4,0,False
2026-01-19,07:00 - 07:15,24150,24141.682,07:00,2026-01-19 07:00:00,7,Monday,1,January,0 days 00:15:00,-8.317999999999302,8.317999999999302,69.18912399998838,0.03445493151636784,Overforecast,2026,4,0,False
2026-01-19,07:15 - 07:30,24500,24283.854,07:15,2026-01-19 07:15:00,7,Monday,1,January,0 days 00:15:00,-216.14600000000064,216.14600000000064,46719.093316000275,0.8900811213903718,Overforecast,2026,4,0,False
2026-01-19,07:30 - 07:45,24700,24503.678,07:30,2026-01-19 07:30:00,7,Monday,1,January,0 days 00:15:00,-196.32200000000012,196.32200000000012,38542.32768400005,0.8011940085076212,Overforecast,2026,4,0,False
2026-01-19,07:45 - 08:00,24900,24734.455,07:45,2026-01-19 07:45:00,7,Monday,1,January,0 days 00:15:00,-165.54499999999825,165.54499999999825,27405.147024999424,0.6692890544788564,Overforecast,2026,4,0,False
2026-01-19,08:00 - 08:15,25300,25354.479,08:00,2026-01-19 08:00:00,8,Monday,1,January,0 days 00:15:00,54.47899999999936,54.47899999999936,2967.9614409999303,0.21486933334342764,Underforecast,2026,4,0,False
2026-01-19,08:15 - 08:30,25650,25705.26,08:15,2026-01-19 08:15:00,8,Monday,1,January,0 days 00:15:00,55.2599999999984,55.2599999999984,3053.667599999823,0.214975456385185,Underforecast,2026,4,0,False
2026-01-19,08:30 - 08:45,25850,26079.363,08:30,2026-01-19 08:30:00,8,Monday,1,January,0 days 00:15:00,229.3630000000012,229.3630000000012,52607.385769000546,0.8794808370127798,Underforecast,2026,4,0,False
2026-01-19,08:45 - 09:00,26100,26196.398,08:45,2026-01-19 08:45:00,8,Monday,1,January,0 days 00:15:00,96.39800000000105,96.39800000000105,9292.574404000203,0.3679818881969996,Underforecast,2026,4,0,False
2026-01-19,09:00 - 09:15,26250,26253.307,09:00,2026-01-19 09:00:00,9,Monday,1,January,0 days 00:15:00,3.3070000000006985,3.3070000000006985,10.93624900000462,0.012596508317983323,Underforecast,2026,4,0,False
2026-01-19,09:15 - 09:30,26400,26419.473,09:15,2026-01-19 09:15:00,9,Monday,1,January,0 days 00:15:00,19.473000000001775,19.473000000001775,379.19772900006916,0.07370699635076662,Underforecast,2026,4,0,False
2026-01-19,09:30 - 09:45,26350,26268.146,09:30,2026-01-19 09:30:00,9,Monday,1,January,0 days 00:15:00,-81.85399999999936,81.85399999999936,6700.077315999895,0.3116093537777632,Overforecast,2026,4,0,False
2026-01-19,09:45 - 10:00,26200,26150.87,09:45,2026-01-19 09:45:00,9,Monday,1,January,0 days 00:15:00,-49.13000000000102,49.13000000000102,2413.7569000001,0.1878713786577694,Overforecast,2026,4,0,False
2026-01-19,10:00 - 10:15,26100,25834.34,10:00,2026-01-19 10:00:00,10,Monday,1,January,0 days 00:15:00,-265.65999999999985,265.65999999999985,70575.23559999993,1.0283212189666926,Overforecast,2026,4,0,False
2026-01-19,10:15 - 10:30,26200,25690.725,10:15,2026-01-19 10:15:00,10,Monday,1,January,0 days 00:15:00,-509.27500000000146,509.27500000000146,259361.0256250015,1.9823301989336677,Overforecast,2026,4,0,False
2026-01-19,10:30 - 10:45,26350,25883.033,10:30,2026-01-19 10:30:00,10,Monday,1,January,0 days 00:15:00,-466.96700000000055,466.96700000000055,218058.1790890005,1.8041432779535558,Overforecast,2026,4,0,False
2026-01-19,10:45 - 11:00,26450,25727.648,10:45,2026-01-19 10:45:00,10,Monday,1,January,0 days 00:15:00,-722.351999999999,722.351999999999,521792.41190399847,2.807687667368579,Overforecast,2026,4,0,False
2026-01-19,11:00 - 11:15,26450,25628.564,11:00,2026-01-19 11:00:00,11,Monday,1,January,0 days 00:15:00,-821.4360000000015,821.4360000000015,674757.1020960024,3.205158119666797,Overforecast,2026,4,0,False
2026-01-19,11:15 - 11:30,26400,25444.738,11:15,2026-01-19 11:15:00,11,Monday,1,January,0 days 00:15:00,-955.2619999999988,955.2619999999988,912525.4886439977,3.7542614901359914,Overforecast,2026,4,0,False
2026-01-19,11:30 - 11:45,26350,25437.14,11:30,2026-01-19 11:30:00,11,Monday,1,January,0 days 00:15:00,-912.8600000000006,912.8600000000006,833313.379600001,3.588689608973338,Overforecast,2026,4,0,False
