Date,OREB [Time unit from - to],Forecasted Total Load [MW],Actual Total Load [MW],Time,Datetime,Hour,Weekday,Month,Month_Name,Time_Difference
2026-01-19,00:00 - 00:15,17200,17909.328,00:00,2026-01-19 00:00:00,0,Monday,1,January,
2026-01-19,00:15 - 00:30,17050,17439.41,00:15,2026-01-19 00:15:00,0,Monday,1,January,0 days 00:15:00
2026-01-19,00:30 - 00:45,16900,17515.727,00:30,2026-01-19 00:30:00,0,Monday,1,January,0 days 00:15:00
2026-01-19,00:45 - 01:00,16800,17493.357,00:45,2026-01-19 00:45:00,0,Monday,1,January,0 days 00:15:00
2026-01-19,01:00 - 01:15,16700,17276.377,01:00,2026-01-19 01:00:00,1,Monday,1,January,0 days 00:15:00
2026-01-19,01:15 - 01:30,16650,17351.166,01:15,2026-01-19 01:15:00,1,Monday,1,January,0 days 00:15:00
2026-01-19,01:30 - 01:45,16650,17236.246,01:30,2026-01-19 01:30:00,1,Monday,1,January,0 days 00:15:00
2026-01-19,01:45 - 02:00,16650,17098.74,01:45,2026-01-19 01:45:00,1,Monday,1,January,0 days 00:15:00
2026-01-19,02:00 - 02:15,16650,17018.371,02:00,2026-01-19 02:00:00,2,Monday,1,January,0 days 00:15:00
2026-01-19,02:15 - 02:30,16650,17070.008,02:15,2026-01-19 02:15:00,2,Monday,1,January,0 days 00:15:00
2026-01-19,02:30 - 02:45,16650,16942.197,02:30,2026-01-19 02:30:00,2,Monday,1,January,0 days 00:15:00
2026-01-19,02:45 - 03:00,16650,17166.479,02:45,2026-01-19 02:45:00,2,Monday,1,January,0 days 00:15:00
2026-01-19,03:00 - 03:15,16650,17085.908,03:00,2026-01-19 03:00:00,3,Monday,1,January,0 days 00:15:00
2026-01-19,03:15 - 03:30,16700,17246.764,03:15,2026-01-19 03:15:00,3,Monday,1,January,0 days 00:15:00
2026-01-19,03:30 - 03:45,16750,17236.79,03:30,2026-01-19 03:30:00,3,Monday,1,January,0 days 00:15:00
2026-01-19,03:45 - 04:00,16900,17136.248,03:45,2026-01-19 03:45:00,3,Monday,1,January,0 days 00:15:00
2026-01-19,04:00 - 04:15,17050,17324.113,04:00,2026-01-19 04:00:00,4,Monday,1,January,0 days 00:15:00
2026-01-19,04:15 - 04:30,17200,17704.078,04:15,2026-01-19 04:15:00,4,Monday,1,January,0 days 00:15:00
2026-01-19,04:30 - 04:45,17450,17612.205,04:30,2026-01-19 04:30:00,4,Monday,1,January,0 days 00:15:00
2026-01-19,04:45 - 05:00,17750,17963.377,04:45,2026-01-19 04:45:00,4,Monday,1,January,0 days 00:15:00
2026-01-19,05:00 - 05:15,18150,18495.648,05:00,2026-01-19 05:00:00,5,Monday,1,January,0 days 00:15:00
2026-01-19,05:15 - 05:30,18550,18651.145,05:15,2026-01-19 05:15:00,5,Monday,1,January,0 days 00:15:00
2026-01-19,05:30 - 05:45,19300,19280.002,05:30,2026-01-19 05:30:00,5,Monday,1,January,0 days 00:15:00
2026-01-19,05:45 - 06:00,20150,20004.621,05:45,2026-01-19 05:45:00,5,Monday,1,January,0 days 00:15:00
